Concordant	Discordant	Missing	Filtered	TP	FP	TN	FN	svtype	program	sample	technology	coverage	experiment
6351	7015	0	0	12820	4219	6669	3024	INS	cutesv	HG002	r9	8x	ds
11678	9741	0	0	21099	5081	11532	5126	TOT	cutesv	HG002	r9	8x	ds
6678	1294	0	0	9698	767	4891	588	DEL	orig	HG002	r9	8x	ds
7911	5371	0	0	14714	4411	6397	1042	INS	orig	HG002	r9	8x	ds
14589	6665	0	0	24412	5178	11288	1630	TOT	orig	HG002	r9	8x	ds
7219	1516	44	681	10056	1214	5788	412	DEL	kanpig	HG00733	r10	16x	ts
11307	4389	79	0	15254	3246	11600	1292	INS	kanpig	HG00733	r10	16x	ts
18526	5905	123	681	25310	4460	17388	1704	TOT	kanpig	HG00733	r10	16x	ts
7721	1015	43	680	10952	324	5472	724	DEL	svjedi	HG00733	r10	16x	ts
10571	4878	326	0	17752	509	8253	4384	INS	svjedi	HG00733	r10	16x	ts
18292	5893	369	680	28704	833	13725	5108	TOT	svjedi	HG00733	r10	16x	ts
6917	1821	41	680	10266	1008	5295	907	DEL	sniffles	HG00733	r10	16x	ts
9030	6640	105	0	16465	2006	8106	4763	INS	sniffles	HG00733	r10	16x	ts
15947	8461	146	680	26731	3014	13401	5670	TOT	sniffles	HG00733	r10	16x	ts
6025	2754	0	680	8786	2538	5671	563	DEL	cutesv	HG00733	r10	16x	ts
7969	7701	105	105	13741	4750	9459	3390	INS	cutesv	HG00733	r10	16x	ts
13994	10455	105	785	22527	7288	15130	3953	TOT	cutesv	HG00733	r10	16x	ts
6413	1530	0	0	9348	637	4892	1009	DEL	kanpig	HG00733	r10	16x	ds
7755	5459	0	0	13532	3374	7304	2218	INS	kanpig	HG00733	r10	16x	ds
14168	6989	0	0	22880	4011	12196	3227	TOT	kanpig	HG00733	r10	16x	ds
6410	1483	0	0	9649	921	4570	646	DEL	svjedi	HG00733	r10	16x	ds
7305	5768	0	0	14401	4675	5875	1195	INS	svjedi	HG00733	r10	16x	ds
13715	7251	0	0	24050	5596	10445	1841	TOT	svjedi	HG00733	r10	16x	ds
6377	1550	0	0	9434	747	4767	906	DEL	sniffles	HG00733	r10	16x	ds
7311	6056	0	0	13900	4179	6639	2016	INS	sniffles	HG00733	r10	16x	ds
13688	7606	0	0	23334	4926	11406	2922	TOT	sniffles	HG00733	r10	16x	ds
5739	2319	0	0	8545	631	4990	1950	DEL	cutesv	HG00733	r10	16x	ds
6936	6295	0	0	13245	3966	6717	2534	INS	cutesv	HG00733	r10	16x	ds
12675	8614	0	0	21790	4597	11707	4484	TOT	cutesv	HG00733	r10	16x	ds
6720	1209	0	0	9711	656	4858	633	DEL	orig	HG00733	r10	16x	ds
7876	5321	0	0	14566	4239	6405	1184	INS	orig	HG00733	r10	16x	ds
14596	6530	0	0	24277	4895	11263	1817	TOT	orig	HG00733	r10	16x	ds
6970	1764	45	681	9724	1547	5824	373	DEL	kanpig	HG00733	r9	16x	ts
10541	5157	77	0	14344	4164	11672	1216	INS	kanpig	HG00733	r9	16x	ts
17511	6921	122	681	24068	5711	17496	1589	TOT	kanpig	HG00733	r9	16x	ts
7790	947	42	680	11006	272	5494	702	DEL	svjedi	HG00733	r9	16x	ts
10823	4734	218	0	17899	473	8465	4277	INS	svjedi	HG00733	r9	16x	ts
18613	5681	260	680	28905	745	13959	4979	TOT	svjedi	HG00733	r9	16x	ts
6835	1902	42	680	10156	1118	5306	894	DEL	sniffles	HG00733	r9	16x	ts
8583	7101	91	0	16370	2121	7762	5115	INS	sniffles	HG00733	r9	16x	ts
15418	9003	133	680	26526	3239	13068	6009	TOT	sniffles	HG00733	r9	16x	ts
5992	2787	0	680	8752	2572	5668	566	DEL	cutesv	HG00733	r9	16x	ts
7755	7915	105	105	13576	4915	9399	3450	INS	cutesv	HG00733	r9	16x	ts
13747	10702	105	785	22328	7487	15067	4016	TOT	cutesv	HG00733	r9	16x	ts
6147	1825	0	0	8969	563	4982	1430	DEL	kanpig	HG00733	r9	16x	ds
6673	6633	0	0	11891	3006	7752	3963	INS	kanpig	HG00733	r9	16x	ds
12820	8458	0	0	20860	3569	12734	5393	TOT	kanpig	HG00733	r9	16x	ds
6371	1475	0	0	9544	877	4578	693	DEL	svjedi	HG00733	r9	16x	ds
7226	5734	0	0	14098	4487	5973	1362	INS	svjedi	HG00733	r9	16x	ds
13597	7209	0	0	23642	5364	10551	2055	TOT	svjedi	HG00733	r9	16x	ds
6272	1712	0	0	9280	727	4844	1117	DEL	sniffles	HG00733	r9	16x	ds
6971	6378	0	0	13671	4320	6479	2228	INS	sniffles	HG00733	r9	16x	ds
13243	8090	0	0	22951	5047	11323	3345	TOT	sniffles	HG00733	r9	16x	ds
5719	2368	0	0	8539	646	5014	1975	DEL	cutesv	HG00733	r9	16x	ds
6847	6421	0	0	13044	3872	6855	2765	INS	cutesv	HG00733	r9	16x	ds
12566	8789	0	0	21583	4518	11869	4740	TOT	cutesv	HG00733	r9	16x	ds
6720	1209	0	0	9711	656	4858	633	DEL	orig	HG00733	r9	16x	ds
7876	5321	0	0	14566	4239	6405	1184	INS	orig	HG00733	r9	16x	ds
14596	6530	0	0	24277	4895	11263	1817	TOT	orig	HG00733	r9	16x	ds
7404	1340	35	681	10114	1168	5917	289	DEL	kanpig	HG00733	r10	32x	ts
11294	4423	58	0	15184	3346	11676	1228	INS	kanpig	HG00733	r10	32x	ts
