Concordant	Discordant	Missing	Filtered	TP	FP	TN	FN	num_neigh	program	sample	technology	coverage	experiment
7	35	0	0	9	2	40	33	6	kanpig	HG002	r9	16x	ds
1	35	0	0	1	0	36	35	7	kanpig	HG002	r9	16x	ds
2	40	0	0	2	0	42	40	8	kanpig	HG002	r9	16x	ds
0	13	0	0	0	0	13	13	9	kanpig	HG002	r9	16x	ds
2	34	0	0	2	0	36	34	10	kanpig	HG002	r9	16x	ds
11341	1119	0	0	15776	209	7897	1038	0	svjedi	HG002	r9	16x	ds
1622	5126	0	0	6448	4604	1876	568	1	svjedi	HG002	r9	16x	ds
470	564	0	0	914	395	566	193	2	svjedi	HG002	r9	16x	ds
155	233	0	0	325	159	217	75	3	svjedi	HG002	r9	16x	ds
68	74	0	0	117	45	93	29	4	svjedi	HG002	r9	16x	ds
22	45	0	0	38	15	51	30	5	svjedi	HG002	r9	16x	ds
5	8	0	0	12	7	6	1	6	svjedi	HG002	r9	16x	ds
3	10	0	0	3	0	13	10	7	svjedi	HG002	r9	16x	ds
2	7	0	0	2	0	9	7	8	svjedi	HG002	r9	16x	ds
0	0	0	0	0	0	0	0	9	svjedi	HG002	r9	16x	ds
2	0	0	0	2	0	2	0	10	svjedi	HG002	r9	16x	ds
10878	1603	0	0	15397	303	7818	1444	0	sniffles	HG002	r9	16x	ds
1801	4962	0	0	6208	4195	2280	843	1	sniffles	HG002	r9	16x	ds
448	652	0	0	857	360	652	331	2	sniffles	HG002	r9	16x	ds
126	366	0	0	299	163	312	210	3	sniffles	HG002	r9	16x	ds
58	201	0	0	121	58	191	148	4	sniffles	HG002	r9	16x	ds
18	105	0	0	35	16	103	92	5	sniffles	HG002	r9	16x	ds
5	66	0	0	7	2	69	64	6	sniffles	HG002	r9	16x	ds
1	51	0	0	4	3	49	48	7	sniffles	HG002	r9	16x	ds
1	77	0	0	2	1	75	78	8	sniffles	HG002	r9	16x	ds
0	11	0	0	0	0	11	11	9	sniffles	HG002	r9	16x	ds
1	34	0	0	1	0	35	34	10	sniffles	HG002	r9	16x	ds
10352	2195	0	0	14873	379	7787	2055	0	cutesv	HG002	r9	16x	ds
1797	5008	0	0	5759	3790	2723	1338	1	cutesv	HG002	r9	16x	ds
417	675	0	0	672	219	773	520	2	cutesv	HG002	r9	16x	ds
134	360	0	0	233	94	384	277	3	cutesv	HG002	r9	16x	ds
43	184	0	0	74	28	192	160	4	cutesv	HG002	r9	16x	ds
14	103	0	0	22	8	106	98	5	cutesv	HG002	r9	16x	ds
2	49	0	0	8	6	45	43	6	cutesv	HG002	r9	16x	ds
2	40	0	0	2	0	42	40	7	cutesv	HG002	r9	16x	ds
1	27	0	0	1	0	27	28	8	cutesv	HG002	r9	16x	ds
0	15	0	0	0	0	15	15	9	cutesv	HG002	r9	16x	ds
1	24	0	0	1	0	25	24	10	cutesv	HG002	r9	16x	ds
11458	1080	0	0	16044	300	7861	871	0	orig	HG002	r9	16x	ds
2141	4768	0	0	6691	4283	2324	520	1	orig	HG002	r9	16x	ds
602	484	0	0	1028	353	644	147	2	orig	HG002	r9	16x	ds
214	222	0	0	393	165	256	58	3	orig	HG002	r9	16x	ds
99	71	0	0	156	54	113	17	4	orig	HG002	r9	16x	ds
49	28	0	0	62	11	64	17	5	orig	HG002	r9	16x	ds
14	11	0	0	25	11	14	0	6	orig	HG002	r9	16x	ds
6	0	0	0	6	0	6	0	7	orig	HG002	r9	16x	ds
5	1	0	0	6	1	5	0	8	orig	HG002	r9	16x	ds
0	0	0	0	0	0	0	0	9	orig	HG002	r9	16x	ds
1	0	0	0	1	0	1	0	10	orig	HG002	r9	16x	ds
11316	1324	0	0	15767	1278	8057	178	0	kanpig	HG002	r10	32x	ts
4909	2837	0	0	6276	1934	6315	967	1	kanpig	HG002	r10	32x	ts
1318	598	0	0	1630	496	1576	130	2	kanpig	HG002	r10	32x	ts
700	400	0	0	852	298	941	109	3	kanpig	HG002	r10	32x	ts
352	236	0	0	425	186	508	57	4	kanpig	HG002	r10	32x	ts
161	136	0	0	199	106	257	32	5	kanpig	HG002	r10	32x	ts
59	89	0	0	87	62	120	27	6	kanpig	HG002	r10	32x	ts
43	58	0	0	53	48	91	10	7	kanpig	HG002	r10	32x	ts
27	67	0	0	43	54	77	14	8	kanpig	HG002	r10	32x	ts
7	13	0	0	10	10	17	3	9	kanpig	HG002	r10	32x	ts
13	33	0	0	18	28	41	5	10	kanpig	HG002	r10	32x	ts
12054	552	0	0	16787	231	7851	343	0	svjedi	HG002	r10	32x	ts
3528	4100	0	0	7878	216	3272	3890	1	svjedi	HG002	r10	32x	ts
1259	642	0	0	2011	101	1147	543	2	svjedi	HG002	r10	32x	ts
705	387	0	0	1094	48	703	339	3	svjedi	HG002	r10	32x	ts
426	159	0	0	568	40	442	120	4	svjedi	HG002	r10	32x	ts
205	91	0	0	278	26	223	65	5	svjedi	HG002	r10	32x	ts
93	53	0	0	137	10	102	43	6	svjedi	HG002	r10	32x	ts
69	32	0	0	88	13	82	19	7	svjedi	HG002	r10	32x	ts
66	27	0	0	82	14	77	13	8	svjedi	HG002	r10	32x	ts
10	8	0	0	16	2	12	6	9	svjedi	HG002	r10	32x	ts
30	16	0	0	40	6	36	10	10	svjedi	HG002	r10	32x	ts
11649	985	0	0	16231	807	7972	258	0	sniffles	HG002	r10	32x	ts
2580	5167	0	0	7483	728	2747	4536	1	sniffles	HG002	r10	32x	ts
971	944	0	0	1652	473	1178	527	2	sniffles	HG002	r10	32x	ts
455	643	0	0	849	299	695	353	3	sniffles	HG002	r10	32x	ts
249	339	0	0	452	159	382	183	4	sniffles	HG002	r10	32x	ts
138	157	0	0	213	90	218	69	5	sniffles	HG002	r10	32x	ts
45	103	0	0	109	40	84	63	6	sniffles	HG002	r10	32x	ts
28	73	0	0	65	36	64	37	7	sniffles	HG002	r10	32x	ts
19	75	0	0	60	37	53	38	8	sniffles	HG002	r10	32x	ts
6	14	0	0	14	6	12	8	9	sniffles	HG002	r10	32x	ts
25	20	0	0	35	10	35	10	10	sniffles	HG002	r10	32x	ts
11107	1515	0	0	15481	1563	8029	171	0	cutesv	HG002	r10	32x	ts
2918	4818	0	0	6297	1905	4087	3183	1	cutesv	HG002	r10	32x	ts
588	1332	0	0	813	1319	1537	171	2	cutesv	HG002	r10	32x	ts
239	860	0	0	309	840	986	63	3	cutesv	HG002	r10	32x	ts
80	506	0	0	94	515	550	13	4	cutesv	HG002	r10	32x	ts
25	271	0	0	32	272	281	7	5	cutesv	HG002	r10	32x	ts
